,95% CI Lower,Correlation,95% CI Upper
B.cells.naive,-0.6602886750241208,-0.19965566812631189,0.3701332341869962
B.cells.memory,-0.454542399370422,0.1002031961504769,0.598939617527835
Plasma.cells,0.3362381495155506,0.7355879708751762,0.910723220503354
T.cells.CD8,-0.2408390655300002,0.3321889614472223,0.733489068948206
T.cells.CD4.naive,-0.44048918486824723,0.11756756649375405,0.6100902832586117
T.cells.CD4.memory.resting,-0.19573999996440883,0.3736445983841174,0.7546217279635214
T.cells.CD4.memory.activated,,,
T.cells.follicular.helper,-0.378274117378554,0.19054953243637174,0.6549159360906337
T.cells.regulatory..Tregs.,-0.41775137054810824,0.14495815190393085,0.6272915194035714
T.cells.gamma.delta,,,
NK.cells.resting,-0.06359084559468695,0.4832950308839103,0.8069509710214307
NK.cells.activated,-0.23287427816418166,0.33967488161106696,0.7373634102865697
Monocytes,-0.7432681060254457,-0.35118155095663717,0.22047991519931442
Macrophages.M0,-0.4944445188141641,0.048986101840462155,0.5648836999386917
Macrophages.M1,0.07446647669498956,0.5820489985139075,0.850098350305246
Macrophages.M2,-0.5346879816557933,-0.0057356519620806795,0.5264459410336279
Dendritic.cells.resting,-0.5953306751272137,-0.09464750354633933,0.4589811247216847
Dendritic.cells.activated,0.23266086220175372,0.679374875755893,0.8893699619013336
Mast.cells.resting,-0.680036975397837,-0.23382458014289947,0.3387855096208469
Mast.cells.activated,-0.590907559404626,-0.08788072355226226,0.46435037379985655
Eosinophils,-0.6008899136061348,-0.10321852934826,0.4521217059174341
Neutrophils,-0.47309089851142583,0.07675507432126824,0.5835689254214995
T.cells.all,-0.335910779306409,0.23688879026760487,0.6817768896614279
B.cells.all,-0.5932424062824595,-0.09144695363927495,0.4615257210948339
Nk.cells.all,-0.46809893643348943,0.08312606262922159,0.587781472156051
Macrophages.all,-0.4125163493423923,0.1511445779775815,0.6311125083157468
Dendritic.cells.all,-0.6112897649510419,-0.1194535742157089,0.43894616878986653
Mast.cells.all,-0.23349314657676154,0.33909580909729964,0.7370646418645922
Leukocytes.all,-0.4749097329600459,0.07442257401025469,0.5820198066996146
